revelation_ref,canonical_source_refs,initial_relation,review_status,notes
Revelation 18:2,Isaiah 21:9; Isaiah 34:13-15; Jeremiah 50:39; Jeremiah 51:37,candidate-reuse,awaiting-original-language-verification,
Revelation 18:3,Jeremiah 51:7,candidate-reuse,awaiting-original-language-verification,
Revelation 18:4,"Isaiah 48:20; Isaiah 52:11; Jeremiah 50:8; Jeremiah 51:6,9,45",candidate-reuse,awaiting-original-language-verification,
Revelation 18:5,Genesis 18:20-21; Jeremiah 51:9,candidate-reuse,awaiting-original-language-verification,Uses canonical 'reached heaven' and accumulated-iniquity candidates.
Revelation 18:6,"Psalm 137:8; Jeremiah 16:18; Jeremiah 17:18; Jeremiah 50:15,29",candidate-reuse,awaiting-original-language-verification,
Revelation 18:7,Isaiah 47:7-8; Zephaniah 2:15,candidate-reuse,awaiting-original-language-verification,
Revelation 18:8,"Isaiah 47:9; Jeremiah 50:31-32; Jeremiah 51:25,30,32,38",candidate-reuse,awaiting-original-language-verification,
Revelation 18:9-19,Ezekiel 26:16-18; Ezekiel 27:12-36,candidate-reuse,awaiting-original-language-verification,
Revelation 18:9,Jeremiah 50:46,candidate-reuse,awaiting-original-language-verification,
Revelation 18:10,Daniel 4:30,candidate-reuse,awaiting-original-language-verification,
Revelation 18:12-13,Ezekiel 27:12-25,candidate-reuse,awaiting-original-language-verification,
Revelation 18:20,Psalm 96:11; Isaiah 44:23; Isaiah 49:13; Jeremiah 51:48,candidate-reuse,awaiting-original-language-verification,
Revelation 18:21,Jeremiah 51:63-64; Ezekiel 26:21,candidate-reuse,awaiting-original-language-verification,
Revelation 18:22,Isaiah 24:8; Jeremiah 25:10; Ezekiel 26:13,candidate-reuse,awaiting-original-language-verification,
Revelation 18:23,Isaiah 23:8; Isaiah 47:9; Jeremiah 7:34; Jeremiah 16:9; Jeremiah 25:10; Nahum 3:4,candidate-reuse,awaiting-original-language-verification,
Revelation 18:24,Jeremiah 51:49; Ezekiel 24:7,candidate-reuse,awaiting-original-language-verification,
Revelation 19:2,Deuteronomy 32:43; Psalm 79:10; Psalm 119:137; Jeremiah 51:48,candidate-reuse,awaiting-original-language-verification,
Revelation 19:3,Isaiah 34:9-10; Jeremiah 51:48,candidate-reuse,awaiting-original-language-verification,
Revelation 19:5,Psalm 22:23; Psalm 115:13; Psalm 134:1; Psalm 135:1,candidate-reuse,awaiting-original-language-verification,
Revelation 19:6,Exodus 15:18; Psalm 22:28; Psalm 93:1; Psalm 97:1; Psalm 99:1; Ezekiel 1:24; Ezekiel 43:2; Daniel 7:14; Zechariah 14:9,candidate-reuse,awaiting-original-language-verification,
Revelation 19:8,Isaiah 61:10,candidate-reuse,awaiting-original-language-verification,
Revelation 19:11,Psalm 45:3-4; Psalm 96:13; Isaiah 11:4-5,candidate-reuse,awaiting-original-language-verification,
Revelation 19:13,Isaiah 63:1-3; Lamentations 1:15; Joel 3:13,candidate-reuse,awaiting-original-language-verification,
Revelation 19:15,Psalm 2:8-9; Isaiah 11:4; Isaiah 63:3-6,candidate-reuse,awaiting-original-language-verification,
Revelation 19:16,Deuteronomy 10:17; Daniel 2:47,candidate-reuse,awaiting-original-language-verification,
Revelation 19:17-18,Isaiah 34:6-7; Ezekiel 39:17-20,candidate-reuse,awaiting-original-language-verification,
Revelation 19:19,Psalm 2:2; Joel 3:9-11,candidate-reuse,awaiting-original-language-verification,
Revelation 19:20,Isaiah 30:33; Daniel 7:11,candidate-reuse,awaiting-original-language-verification,
Revelation 19:21,Ezekiel 39:19-20,candidate-reuse,awaiting-original-language-verification,
Revelation 20:2,"Genesis 3:1,13-14; Isaiah 24:21-22",candidate-reuse,awaiting-original-language-verification,
Revelation 20:4,"Daniel 7:9,22,27; Daniel 12:2",candidate-reuse,awaiting-original-language-verification,
Revelation 20:5,Isaiah 26:14,candidate-reuse,awaiting-original-language-verification,
